transaction_id,customer_id,transaction_date,amount,merchant,category,city,state,age_group,status,is_fraud
fff87d4340ef756a592eac652493cf6b,577588686219,2020-03-09 15:09:26,194.51,fraud_Towne LLC,misc_pos,Spring Church,PA,26-35,SUCCESS,0
d0ad335af432f35578eea01d639b3621,30376238035123,2019-08-22 15:49:01,52.32,fraud_Friesen Ltd,health_fitness,Sixes,OR,65+,SUCCESS,0
87f26e3ea33f4ff4c7a8bad2c7f48686,4658490815480264,2019-03-04 01:34:16,6.53,fraud_Mohr Inc,shopping_pos,Keisterville,PA,65+,SUCCESS,0
9c34015321c0fa2ae6fd20f9359d1d3e,3514897282719543,2020-06-16 20:04:38,7.33,fraud_Gaylord-Powlowski,home,Farmington,NY,65+,SUCCESS,0
198437c05676f485e9be04449c664475,6011381817520024,2019-05-14 05:54:48,64.29,"fraud_Christiansen, Goyette and Schamberger",gas_transport,Lagrange,WY,46-55,SUCCESS,0
2203dd06764180b6314dca2b21df2494,4855488158131690372,2019-06-28 10:46:05,129.8,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,Graniteville,VT,26-35,SUCCESS,0
7b44d808a40f8ac414736be6a038e83c,30427035050508,2020-01-23 09:09:59,111.1,fraud_Kuhic Inc,grocery_pos,Detroit,MI,56-65,SUCCESS,0
c5b880abe58cd5eedbda555cdb302d86,213120463918358,2020-01-30 11:23:44,8.43,"fraud_Douglas, Schneider and Turner",shopping_pos,Spearsville,LA,65+,SUCCESS,0
91376d8059070c4c481a6b47e763b195,6597888193422452,2019-03-11 10:35:53,2.36,fraud_Hickle Group,shopping_pos,Holliday,TX,56-65,SUCCESS,0
f8a5ece3bf61877d1cab6dde1ec687ce,4809701904914,2020-04-12 18:50:07,88.0,fraud_Bahringer-Streich,food_dining,Phenix City,AL,36-45,SUCCESS,0
76757c92e09b6db6f48d18c8937c796e,3589255887819806,2019-12-17 14:46:27,124.45,fraud_Pollich LLC,home,Hancock,MD,36-45,SUCCESS,0
c293e3d5ebc1bd50000b027b5dd92a09,30518206766474,2019-10-27 23:24:54,88.58,fraud_Weber and Sons,food_dining,Matthews,MO,46-55,SUCCESS,0
9e40574a956e4751fa5efe8191e5b32c,376445266762684,2019-06-04 11:26:15,56.75,fraud_Berge LLC,gas_transport,Sutherland,NE,36-45,SUCCESS,0
5685fd238c51ead57236b4440951ece0,30044330818990,2019-07-31 12:34:22,2.02,fraud_Schmidt and Sons,shopping_net,Fort Myers,FL,36-45,SUCCESS,0
b8d56cc4e26c7059a49ca19916f7e701,180036456789979,2019-08-29 14:28:55,7.36,fraud_Kozey-Boehm,shopping_net,Bagley,WI,46-55,SUCCESS,0
ca1abe66060045960598f93bdbb94d35,3583635130604947,2019-09-02 14:37:08,62.97,fraud_Gibson-Deckow,entertainment,Philadelphia,PA,36-45,SUCCESS,0
bcf7fc481328497bb47e0ef1c8a3fb43,6538441737335434,2019-01-08 02:55:42,35.81,fraud_Trantow PLC,grocery_net,Clarks Mills,PA,26-35,SUCCESS,0
969d67625fa80ac936c3e61f3cf2666d,30118423745458,2019-07-01 10:44:42,49.03,fraud_Cole PLC,grocery_pos,Matawan,NJ,26-35,SUCCESS,0
936a08b99425359a311c031a5105fd1c,38797410705641,2019-10-20 20:16:32,65.28,"fraud_Kling, Howe and Schneider",home,Oak Hill,NY,46-55,SUCCESS,0
4aef84843de342a412bbfedf90a4e419,213180742685905,2020-06-14 17:58:56,28.87,fraud_Harris Group,food_dining,Carlotta,CA,65+,SUCCESS,0
bd5c94e257dc949fb03429367956d026,4908846471916297,2019-12-07 17:21:35,37.44,fraud_Pacocha-Weissnat,kids_pets,Grandview,TX,26-35,SUCCESS,0
d0724d54a39782d381735db9bc88f677,30230540139182,2020-06-02 09:05:04,77.29,fraud_Schumm PLC,shopping_net,Montandon,PA,46-55,SUCCESS,0
13d6bb499df223e1e24352cf0211b93f,6011542681743618,2019-11-30 10:21:10,42.05,"fraud_Schaefer, McGlynn and Bosco",gas_transport,Basye,VA,46-55,SUCCESS,0
a2a5949ef1000a80a83d0ee4e417d9a2,5559857416065248,2019-02-05 20:39:24,58.1,fraud_Emmerich-Rau,personal_care,Grenada,CA,65+,SUCCESS,0
